,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
27342,3kGUnF2HDwP9NyficM8WSP,Danny Byrd;I-Kay,Rave Digger,Ill Behaviour,20,293600,False,0.534,0.96,1,-2.519,1,0.0601,0.163,0.000457,0.282,0.407,175.007,4.0,drum-and-bass
16712,0gBtRrMYlHoToeVB3cstKs,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"12 Variations on an Allegretto in B Flat, K.500: 8. Variation VII",4,65536,False,0.601,0.0588,10,-27.72,0,0.0747,0.995,0.916,0.0899,0.354,125.689,4.0,classical
31426,0K0r2B73pzyGwKLUONLp11,Alessia Cara,Christmas Dinner 2022,Make It To Christmas,0,211013,False,0.535,0.522,2,-7.87,1,0.0363,0.131,0.0,0.438,0.305,77.054,4.0,electro
22174,1Ds58cpyJzL0YTKk02vh1C,Cannibal Corpse,Evisceration Plague,Evisceration Plague,52,270920,False,0.291,0.98,1,-5.138,1,0.153,0.00127,0.091,0.102,0.257,79.792,4.0,death-metal
2813,6LgJvl0Xdtc73RJ1mmpotq,Radiohead,OK Computer,Paranoid Android,70,387213,False,0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709,4.0,alt-rock
32464,2507qKwSdST2fmOi21NTFp,MALFNKTION,Hindustani Rascal,Where Did ! Go,29,96595,False,0.812,0.15,10,-17.285,1,0.0788,0.965,0.935,0.0873,0.836,139.942,4.0,electronic
30967,1bAhB2a2UeacLYrizlVfHG,ILLENIUM;X Ambassadors;Alan Walker,In Your Arms (with X Ambassadors) [Alan Walker Remix],In Your Arms (with X Ambassadors) [Alan Walker Remix],53,249264,False,0.496,0.691,2,-5.443,1,0.046,0.0697,1.7e-06,0.112,0.199,159.885,4.0,edm
41537,0gp454o5wDrII1FV60NhRe,Anabantha,Sin Decir Adiós,Madrugadas,25,195590,False,0.514,0.733,9,-6.731,0,0.0312,0.00264,0.00548,0.37,0.476,125.04,4.0,goth
18094,1N1QIeEPcVlNrfEel63lsA,Kathleen Madigan,Madigan Again,Obama,27,313773,True,0.579,0.891,5,-3.719,0,0.907,0.824,0.0,0.722,0.454,87.298,3.0,comedy
9569,5G0VKvMNCOFgOd7NmGOS3K,Leonardo Gonçalves,Ressurreição: Inspiracional,Getsêmani,46,306580,False,0.533,0.496,8,-9.373,1,0.0474,0.721,4.64e-06,0.164,0.268,129.948,4.0,brazil
18380,3O9vDxjKojMmFgmoBoCx3D,Ralphie May,Just Correct,Martin Luther King,23,119750,True,0.538,0.606,6,-15.001,1,0.901,0.875,0.0,0.539,0.263,67.766,3.0,comedy
26696,7H5Yv9htHyHTLr633cOuOR,Germaine Franco,Encanto (Svenskt Original Soundtrack),Jag behöver dig,20,147520,False,0.172,0.0563,7,-27.965,1,0.0361,0.953,0.952,0.0706,0.0339,74.611,4.0,disney
20553,0laYHRpNTS6i8FXdupHkJ4,Selena Gomez & The Scene,When The Sun Goes Down,Love You Like A Love Song,81,188453,False,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,4.0,dance
16817,0A5Dar0JoHJSWQ1I4yuxAN,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 6. Variation V",4,60973,False,0.379,0.135,3,-21.779,1,0.035,0.993,0.858,0.112,0.811,35.928,3.0,classical
25428,7qwIiNFri8RklFl2hJt5JV,Miki Howard,Miki Howard,Love Under New Management,37,409826,False,0.575,0.528,1,-9.051,1,0.0429,0.488,0.0,0.0499,0.369,121.296,4.0,disco
567,7xO7bS29oAzMcFI0rBj8Fy,Sara Farell;Simon Samaeng,#Covers,I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,48,232500,False,0.656,0.349,0,-6.841,1,0.0289,0.784,0.0,0.138,0.289,118.026,4.0,acoustic
28924,25ysC9uw0bpwgcxOhnrwjk,Tritonal,Tritonia 400,Adelphi '88 (Tritonia 400),0,316091,False,0.543,0.97,9,-6.097,0,0.0386,0.00195,0.833,0.102,0.126,122.981,4.0,dub
36319,72tWoP1KOVvoXk6ikg7n8m,Horizon Blue;Music Travel Love,Have You Ever Seen The Rain,Have You Ever Seen The Rain,60,154606,False,0.721,0.519,8,-7.407,1,0.0324,0.439,0.0,0.134,0.531,124.171,4.0,french
38048,4GPQDyw9hC1DiZVh0ouDVL,The Black Keys,OK Boomers - Top Tunes,Keep My Name Outta Your Mouth,0,189356,False,0.597,0.702,11,-4.767,1,0.0445,0.0197,0.01,0.125,0.645,83.507,4.0,garage
6389,3i2ne1UTBRAg28NdjA61hr,Darkthrone,Total Death,Black Victory of Death,19,241093,False,0.166,0.938,0,-9.289,1,0.121,1.35e-05,0.662,0.112,0.0381,130.559,4.0,black-metal
27776,4THuAi6CdRLdF4DqG0boc1,Keeno,Futurist,The 8th Age,16,249835,False,0.592,0.805,8,-4.587,1,0.0624,0.00585,0.889,0.105,0.275,174.955,4.0,drum-and-bass
17490,7Fn84f1WeWabP3aFXW5TA8,Glee Cast,"Glee: The Music, Journey To Regionals",Faithfully (Glee Cast Version),43,273866,False,0.411,0.54,4,-5.788,1,0.0289,0.143,0.0,0.111,0.0997,129.876,4.0,club
38814,6uV5q0yxaOujbxkwUCUEEf,Arctic Monkeys,I Bet You Look Good On The Dancefloor,I Bet You Look Good On The Dancefloor,53,176466,False,0.538,0.966,6,-3.621,0,0.0358,0.000112,0.0,0.334,0.733,103.172,4.0,garage
32202,2hKEqGaUNHHb52R7MRo46h,TroyBoi,Left Is Right,KinjaBang,32,106000,False,0.774,0.766,9,-4.522,0,0.313,0.0157,0.00746,0.382,0.384,75.007,4.0,electronic
3926,6PypGyiu0Y2lCDBN1XZEnP,R.E.M.,Automatic For The People,Everybody Hurts,75,320266,False,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,3.0,alternative
20086,0LdrgIn0po8wRxpv2USlys,David Guetta;Bebe Rexha;J Balvin,Dance Dance Dance,Say My Name,0,198946,False,0.703,0.66,10,-5.119,0,0.123,0.137,0.0,0.192,0.79,95.033,4.0,dance
1080,5K0z3idLxEFY0tv82NeMPe,Criolo,Criolo E Emicida Ao Vivo (Live),Mariô - Live,33,267480,False,0.572,0.874,5,-7.523,0,0.127,0.525,8.57e-06,0.711,0.681,94.006,4.0,afrobeat
13897,3uRPZy0nl1REaAtXUvtYQg,Joe Smooth,Promised Land,He's All I Need,6,241812,False,0.612,0.739,7,-3.698,1,0.0261,0.0116,7.53e-05,0.0826,0.419,127.98,4.0,chicago-house
7012,2E8fCCVffRCDERwEHLRsbA,Town Mountain,Leave the Bottle,Lawdog,35,288720,False,0.466,0.565,10,-10.29,1,0.0379,0.718,0.00194,0.295,0.698,199.894,4.0,bluegrass
9109,2CNSHg6E1xchwIuKuQLHtD,Marcelo Falcão,Viver (Mais leve que o ar),Mais leve que o ar,49,198040,False,0.554,0.735,7,-5.915,0,0.0527,0.434,3.32e-05,0.406,0.885,170.012,4.0,brazil
18835,5RcuQ6S2thR4oTsgHC4tIO,"""Weird Al"" Yankovic","""Weird Al"" Yankovic",Such a Groovy Guy,22,182733,False,0.539,0.656,7,-10.554,1,0.06,0.281,0.0,0.0499,0.844,145.431,4.0,comedy
34005,3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,83,208211,False,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,3.0,folk
10445,3IgeivnwnfhxcTCIdiZVGX,The Future Sound Of London,Accelerator Deluxe,Papua New Guinea (Monsoon Mix),16,291665,False,0.586,0.777,8,-11.313,1,0.0475,0.00206,0.808,0.136,0.716,125.023,4.0,breakbeat
34659,4C95pR86Pp1CiRDJQnGFWk,Advaita,Top 25 Fusion Ringtunes,Mo Funk (Indo-Western Fusion),34,99567,False,0.468,0.756,5,-7.699,0,0.0413,0.223,0.296,0.41,0.927,113.375,5.0,folk
11411,0Wv9Ckm088qsVkMKPH170C,Lucy Rose,Like I Used To,Shiver,54,233013,False,0.463,0.192,9,-13.229,1,0.0338,0.706,8.46e-05,0.105,0.135,122.631,3.0,british
16462,0G4fdcQNTGAQjIMtDAQIJf,Bhimsen Joshi,Abhanga Vani,Sanvale Sundar Roop Manohar,32,354733,False,0.487,0.373,2,-16.523,0,0.0288,0.648,0.0,0.144,0.552,84.121,4.0,classical
40912,2j3jKZm09BQYgy4ogvPgUF,Gabriela Rocha,Pra Onde Iremos?,Vou Te Adorar,38,207866,False,0.441,0.863,0,-3.276,1,0.0399,0.201,2.28e-06,0.118,0.255,135.143,4.0,gospel
25464,37nxLdGbmgEYQYrqe14xOp,Dan Hartman,Streets Of Fire,I Can Dream About You,63,249560,False,0.743,0.5,9,-14.105,1,0.0513,0.0515,0.0,0.0373,0.903,112.989,4.0,disco
22325,6MzQl8HDmtHuumL95EcCwd,Sight of Emptiness,Redemption,Utter Control,25,263413,True,0.497,0.982,2,-3.761,1,0.109,2.19e-05,0.000455,0.915,0.0789,104.954,4.0,death-metal
39499,4IRaaCRMTNH8FWNxirMYIo,Mickie Krause,Best Of Karneval,Von vorne nach hinten...von links nach rechts - Party Version,0,201975,False,0.517,0.994,10,-2.806,1,0.402,0.0589,0.0,0.972,0.651,135.064,4.0,german
17382,6SluKjEbTkN9eUn6C4Qzh0,Glee Cast,"Glee: The Music, The Complete Season Three",It's All Coming Back To Me Now (Glee Cast Version),48,322933,False,0.269,0.516,0,-7.361,1,0.0366,0.406,0.0,0.117,0.341,178.174,4.0,club
41683,2IKMiB4Jl3IbQZmJi0vLmd,The Gathering,Home,Waking Hour,22,338520,False,0.512,0.522,0,-8.077,1,0.0282,0.226,0.203,0.119,0.0734,134.943,4.0,goth
15841,7j07Fo47VvB4FUg81f2zgw,Sivarni,Little Do You Know?,Little Do You Know?,57,148009,True,0.824,0.467,6,-11.557,1,0.231,0.279,0.0,0.103,0.559,146.072,4.0,chill
8110,7tfSlkyv8xmyoUEGd53mBC,Ella Fitzgerald;Louis Armstrong,Coffee Break,Dream A Little Dream Of Me - Single Version,0,187693,False,0.45,0.25,0,-8.333,1,0.096,0.909,0.0,0.131,0.377,82.108,4.0,blues
17961,7v7UZAX5TR64Pmvda8kI8E,COUCOU CHLOE;Shygirl,NAUGHTY DOG,JUICY,43,146000,True,0.789,0.666,11,-10.272,1,0.176,0.0266,0.22,0.0851,0.575,95.013,4.0,club
2528,0OwkWUJHTcxJSxlprEGd9w,Detonautas Roque Clube,Detonautas Acústico,O Amanhã,49,211706,False,0.563,0.562,7,-8.621,0,0.0268,0.139,0.0,0.145,0.314,149.984,4.0,alt-rock
9592,6b4KNIsMmd3J5pR9BG2pes,Rosa de Saron,Acústico,As Dores do Silêncio,44,264240,False,0.651,0.47,11,-7.977,1,0.0301,0.0875,0.0,0.0936,0.334,123.793,4.0,brazil
18093,6sWOQoSO9nb7Sz8zVV85Xa,Larry The Cable Guy,We've Been Thinking,"Skeeters, Spiders and Lookalikes",29,275493,False,0.459,0.822,3,-10.685,1,0.948,0.8,0.0,0.891,0.179,86.4,4.0,comedy
8729,4QIjnRz7NIkadIPXQyB3UY,Tinariwen,Africa Rising Vol.5,Cler Achel,0,267533,False,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4.0,blues
8361,6dNJ3lasVLPd0078T9yqlm,Wolfmother,Wolfmother,Joker And The Thief,64,279666,False,0.264,0.8,0,-2.427,1,0.0537,0.0195,0.00744,0.406,0.465,155.558,4.0,blues
15042,4oxiWO9whM6zCHxFZwmlVn,Pink Sweat$,Slow Down Soul,Nothing Feels Better,0,157779,False,0.769,0.395,2,-7.71,1,0.0287,0.285,0.0,0.0776,0.558,81.485,4.0,chill
19251,57buRfUBYm7fFFoIM78qbs,Kacey Musgraves,Best Alternative Pop Tunes,easier said,0,187360,False,0.541,0.609,3,-8.077,1,0.0478,0.51,0.000668,0.102,0.381,147.828,4.0,country
26306,0MzR4cY289XW6VwKpIdhrb,Ewa Konstancja Bułhak,Bambukalambu,Kaczki,24,223986,False,0.706,0.478,0,-8.628,1,0.118,0.806,0.0,0.171,0.9,85.293,4.0,disney
9719,29RKQaclcGpj1stafjGHAZ,Marcelo Falcão,Viver (Mais leve que o ar),"Voar, flutuar",44,349306,False,0.597,0.784,9,-3.259,0,0.0275,0.0272,0.000405,0.13,0.377,92.026,4.0,brazil
960,6hVkpZkfQV82W6e31Xye37,Bootstraps,Demo Love,Whenever You're Around,46,202348,False,0.531,0.5,7,-8.593,1,0.0282,0.534,0.000861,0.101,0.319,78.076,4.0,acoustic
24071,6pAIDhDoB7k4bOsxbQjycO,Plastikman;Joris Voorn,Global Underground #43: Joris Voorn - Rotterdam (DJ Mix),Disconnect - (Joris Voorn Edit) [Mixed],14,45360,False,0.785,0.399,1,-14.088,1,0.0454,0.328,0.888,0.124,0.332,126.984,4.0,detroit-techno
15553,4i9zZb6mPKfQRXRb5HKjSw,hevel;Evito,STAR CITY CAFE,STAR CITY CAFE,57,139780,False,0.742,0.415,9,-9.024,1,0.06,0.453,0.0,0.108,0.414,91.093,4.0,chill
34454,3KMPY8RvRII2du31Cjl8Jg,Nusrat Fateh Ali Khan,Sanu Ek Pal Chain,Sanu Ek Pal Chain,39,575936,False,0.509,0.731,6,-4.475,1,0.0397,0.451,0.00389,0.411,0.641,147.97,4.0,folk
34436,1vqtj4c5aNPKkLS2LXkd4E,Gregory Alan Isakov,This Empty Northern Hemisphere,"If I Go, I'm Goin",64,267160,False,0.509,0.0648,3,-17.293,1,0.0339,0.778,0.0282,0.11,0.192,113.742,4.0,folk
20137,4ep7HlnNsqtlqejzzyXt27,Bruno Mars;Anderson .Paak;Silk Sonic,I'm Blue - Hits of 2022,Skate,1,203122,False,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,4.0,dance
27109,40w9Ww6zBhxQ7WZz2owEwX,Grafix;Lauren L'aimant,Feel Alive,Feel Alive,47,248375,False,0.378,0.992,1,-2.924,1,0.0402,0.00467,0.68,0.108,0.331,174.027,4.0,drum-and-bass
19002,5eUtyONoPyfZYGrFHmZzlc,Thomas Rhett,Mientras hago aromaterapia,Die A Happy Man,1,228320,False,0.59,0.389,2,-9.245,1,0.0387,0.411,1.48e-06,0.117,0.389,166.055,4.0,country
7386,2KTg7wfUXeRNruUnwBOudN,Earl Scruggs,Dueling Banjos,Dueling Banjos,23,184653,False,0.473,0.329,7,-18.722,1,0.0511,0.632,0.772,0.0651,0.399,134.338,4.0,bluegrass
29203,5hlxswETS4FB4oCg6g7JHk,Manila Killa;Nick Lopez;San Holo,Mean It,Mean It,47,218728,False,0.664,0.548,4,-8.684,1,0.0421,0.315,0.837,0.172,0.228,127.014,4.0,dubstep
41755,5cT8ecwdOh6GclNNVfg84v,Penumbra,Seclusion,Seclusion,20,356440,False,0.294,0.841,5,-6.436,1,0.0721,0.00215,0.125,0.109,0.174,172.036,4.0,goth
9884,3Goq1S2nVTYg1B42CE8Dd6,Voz da Verdade,Além do Rio Azul / Coração de Cera (Série Dupla),Além do Rio Azul,43,241560,False,0.337,0.445,0,-6.577,1,0.0289,0.645,0.0,0.0839,0.32,81.2,4.0,brazil
25949,7kYc0f6JkBMaPGuYAR1YRs,Brunner & Brunner,Leben,Wie der Wind wehst Du mir in's Gesicht - Originalversion,30,206320,False,0.571,0.857,0,-7.323,1,0.0339,0.0359,5.98e-06,0.391,0.603,130.055,4.0,disco
3154,70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4.0,alternative
31087,4TYeIlwlJTgNkPaFxUP0PJ,Marshmello;Bastille,Tutti in piscina Canzoni per bambini,Happier,1,214289,False,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,4.0,electro
11687,3DmHaJ9zYKj5Snos05lkVF,Rory Gallagher,Top Priority (Remastered 2017),Bad Penny,60,245377,False,0.252,0.729,2,-10.022,0,0.0646,0.0974,0.00881,0.045,0.689,199.738,4.0,british
7178,1msWWsRXyMFeMmYNbHquJO,Cornmeal,Feet First,River Gap,28,332906,False,0.559,0.835,0,-7.858,1,0.0373,0.215,5.14e-06,0.192,0.935,168.613,4.0,bluegrass
26861,2mG6ITFMmBbNhePVNCnJLW,Jon Sarta,Piano Lullabies for Bedtime,Jesus Loves Me,18,169770,False,0.621,0.0871,7,-17.046,1,0.0364,0.991,0.946,0.0974,0.15,88.007,4.0,disney
22894,0nsgyfBlCx8JNbmcxlu9Wu,Burgerkill,Venomous,Through the Shine,22,266146,True,0.472,0.999,7,-1.792,1,0.137,0.00251,2.69e-05,0.176,0.0905,174.037,4.0,death-metal
22746,3J2tWhSR62xsdKOSiJRoLj,Sentenced,The Funeral Album,Consider Us Dead,22,291426,False,0.482,0.941,4,-5.256,0,0.0572,8.39e-05,0.00262,0.358,0.245,138.002,4.0,death-metal
20905,7CHi4DtfK4heMlQaudCuHK,MEDUZA;Becky Hill;Goodboys,Lose Control,Lose Control,78,168387,False,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,4.0,dance
29197,0G5N8E8nEQXtlnxi2Xfrj3,William Black;Amidy,Pieces,Closer Than You,45,219200,False,0.501,0.505,10,-6.428,1,0.0284,0.098,0.0,0.112,0.227,149.916,4.0,dubstep
8675,2HUZVffVPXvqnrml0gXggp,Howlin' Wolf,Moanin' In The Moonlight,Smokestack Lightnin',62,188400,False,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4.0,blues
9694,5TqUmeZKb2MJUMrqY39nmS,Trazendo a Arca,Olha pra Mim,Senhor e Rei,45,503786,False,0.373,0.429,9,-7.992,1,0.0286,0.152,0.0,0.905,0.238,137.783,4.0,brazil
2682,5cUH0jGZStImc41LbHSjhA,Machine Head,Groove Metal Roots & Branches,Davidian,1,296626,False,0.276,0.937,7,-6.952,1,0.163,0.000531,0.123,0.227,0.306,153.814,3.0,alt-rock
11556,1Gkfh1jNNFJPh3vcCSGi3J,YUNGBLUD,The Emperor,The Emperor,58,175150,False,0.515,0.945,8,-3.116,0,0.0888,0.000339,2.36e-05,0.289,0.592,160.078,4.0,british
6476,19K65Zk83c7Yd5EaZNWQ3h,Leviathan,Howl Mockery at the Cross,Lycanthropus Rex,18,410866,False,0.171,0.928,9,-4.014,0,0.113,0.0004,0.83,0.123,0.0382,118.271,1.0,black-metal
26000,1ymvyDsiAUbzEhmSkfCSYh,Billy Eichner;Seth Rogen;JD McCrary;Childish Gambino,The Lion King (Original Motion Picture Soundtrack),Hakuna Matata,58,251520,False,0.53,0.584,0,-11.891,1,0.218,0.274,0.0,0.158,0.575,81.854,4.0,disney
20136,4eoMx75WWJVa0Q6lO3Q0zS,Bruno Mars;PARTYNEXTDOOR,Pop Station,That's What I Like - PARTYNEXTDOOR Remix,0,206696,False,0.741,0.695,1,-5.341,1,0.0454,0.021,0.0,0.0922,0.861,134.032,4.0,dance
6545,7MOMkeydYmyvxbidrx2gT4,Rotting Christ,A Dead Poem,Full Colour Is the Night,17,287466,False,0.455,0.887,9,-6.57,0,0.0342,3.08e-06,0.554,0.116,0.439,136.103,4.0,black-metal
19734,5z7GGdAezDWdJxBlAM4Hkf,Steppenwolf,On air 70's Hits,Hey Lawdy Mama - Single Version,0,178760,False,0.589,0.831,4,-12.373,1,0.0615,0.0195,2.41e-05,0.0635,0.511,98.813,4.0,country
8879,0yBI6YvP9mynD3LDcOgkGC,O. B. Buchana,Mississippi Folks,Swing On,32,290213,False,0.738,0.669,0,-6.856,1,0.0288,0.165,2.33e-06,0.572,0.759,107.0,4.0,blues
36651,66BDXKHZOvvz4CwZovEMwH,Lavern,Sunshine,Sunshine,59,142674,False,0.682,0.552,2,-12.351,1,0.0461,0.814,0.444,0.194,0.0946,111.898,4.0,french
28153,7ixiCZEHWHc8FxaQXQh2P4,Sister Nancy,One Two,Bam Bam,67,196506,False,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,4.0,dub
34450,7K1bH4txxZJbGUQm5SnMAa,Papon,Sinaaki Osinaaki,Osinaaki Mon,36,323056,False,0.537,0.527,7,-8.427,1,0.0366,0.654,6.42e-06,0.086,0.597,151.974,3.0,folk
25148,52u5RRaWoi6S6X41aKNw85,The Supremes,Blinding Lights,"If My Friends Could See Me Now/Nothing Can Stop Us Now/Once In A Lifetime - Medley/Live On The Ed Sullivan Show, February 15, 1970",0,198965,False,0.3,0.579,0,-9.583,0,0.0391,0.54,7.25e-05,0.981,0.707,77.15,4.0,disco
37792,4dPYuuYbTwTAE16wh5fa3Q,MC Neguinho do Kaxeta,Tempo do Pai,Tempo do Pai,43,177230,False,0.615,0.719,7,-3.061,0,0.245,0.304,0.0,0.135,0.423,129.929,4.0,funk
18637,74CKdGAQNhQeZroiHebZhx,Gary Gulman,The Great Depresh,Drinking Fountain,21,276142,True,0.574,0.579,10,-14.523,1,0.945,0.879,0.0,0.712,0.406,127.292,3.0,comedy
10653,1hnU9BHEiBqGGKkw7pBZd6,Noisia;The Upbeats,Critical Music Presents: Underground Sonics,Little Fling - Original Mix,13,291657,False,0.704,0.65,7,-7.037,1,0.196,0.000742,0.891,0.102,0.594,172.043,4.0,breakbeat
41309,1wyVyr8OhYsC9l0WgPPbh8,Bauhaus,The Bela Session,Bela Lugosi's Dead (Official Version),56,576703,False,0.594,0.692,11,-9.444,0,0.114,0.0131,0.678,0.0647,0.552,153.47,4.0,goth
17033,1YVPBX1nfpWOlp6rSrg0C4,Lucille Croft,Control,Control,53,177600,False,0.702,0.842,1,-3.992,1,0.0506,0.0121,0.108,0.157,0.533,99.969,4.0,club
35845,2errE18qLFSrGxC1xeFzGZ,Mastruz Com Leite,Ao Vivo em Fortaleza-CE,"Meu Vaqueiro, Meu Peão - Ao Vivo",38,204007,False,0.384,0.796,2,-5.256,1,0.0499,0.336,1.12e-06,0.15,0.536,105.863,4.0,forro
18214,4gc2dxciFjfZCSAb46UQo3,Wyatt Cenac,Furry Dumb Fighter,Some Thoughts on the Confederate Flag,23,214736,True,0.638,0.601,10,-12.685,0,0.94,0.856,0.0,0.665,0.567,78.371,5.0,comedy
8680,6bb2rmq7KSJxR7XHqiRiTT,Nathaniel Rateliff & The Night Sweats,Tearing At The Seams (Bonus Tracks),Boiled Over,36,150986,False,0.329,0.355,11,-8.508,1,0.0344,0.682,0.0488,0.0862,0.19,115.29,5.0,blues
7147,1NJivJlcocSY1XiCtV3ENE,The Steeldrivers,The Muscle Shoals Recordings,Day Before Temptation,28,190826,False,0.458,0.536,0,-8.992,1,0.051,0.381,0.0,0.119,0.577,180.095,4.0,bluegrass
3304,7brQHA2CgQpcMBiOlfiXYb,The Neighbourhood,I Love You.,Afraid,77,251186,True,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4.0,alternative
37359,00Ofee5Bbfstz49RfSL0oM,Gloria Groove;Sorriso Maroto,LADY LESTE,TUA INDECISÃO,51,230907,False,0.571,0.692,1,-6.82,1,0.0371,0.6,0.0,0.214,0.724,141.917,4.0,funk
38485,4N27l3jtsz7Bj4twhAivdo,The Smith Street Band,Throw Me In The River,Throw Me In The River,29,217520,False,0.279,0.253,11,-7.814,1,0.0372,0.0639,0.0,0.143,0.315,168.694,4.0,garage
11705,7CcxUVbQ5QRwuKGwKk6nG4,YUNGBLUD,13 Reasons Why (Season 2),Tin Pan Boy,33,191893,False,0.386,0.749,2,-6.734,1,0.115,1.92e-05,6.98e-06,0.334,0.517,184.092,4.0,british
15167,5Ge0VqIV199LhntVwdiAHa,Lexi Jonga,I Don't Want,I Don't Want,63,105293,False,0.663,0.166,9,-13.851,0,0.213,0.95,0.00904,0.114,0.732,125.613,4.0,chill
7468,7KcNh1mK61KnOUWSwsYPWk,Appalachian Road Show,Barry Abernathy & Darrell Webb Present Appalachian Road Show,"Dance, Dance, Dance",24,158466,False,0.583,0.781,9,-5.575,1,0.036,0.0938,0.00126,0.315,0.849,123.453,4.0,bluegrass
40167,3vddabBsXcvoerPkIlDHDF,Central 3;André Aquino,Tudo a Ver Com Ele (Ao Vivo),Tudo a Ver Com Ele - Ao Vivo,46,429127,False,0.372,0.658,7,-6.531,1,0.0404,0.329,0.0,0.688,0.212,136.975,4.0,gospel
1719,78DMTISae46jqQmAAYHjJo,Zé Bigode Orquestra,Clube da Fumaça,Vai C Bom,18,193887,False,0.615,0.874,7,-6.186,0,0.0531,0.176,1.66e-05,0.0536,0.389,189.944,4.0,afrobeat
592,1GkwSHR74B5DIgnlarTsa9,Days N Daze,Show Me the Blueprints.,Ditches,30,162282,True,0.48,0.77,10,-3.547,1,0.0542,0.397,0.0,0.254,0.744,126.225,4.0,acoustic
36271,2Hp3OqegIMtyAMH9UXlG6U,Prigida,Early Thoughts,Pillow Thoughts,57,144000,False,0.501,0.437,7,-14.806,1,0.188,0.694,0.844,0.109,0.18,84.011,4.0,french
31682,1snWlbcbgQpJfknoI30DWG,Alan Walker;Au/Ra;Tomine Harket,Darkside,Darkside,62,211866,False,0.425,0.642,4,-5.06,0,0.0502,0.164,0.0,0.118,0.112,170.008,4.0,electro
8321,7rnDZfdq7rNyAWLCQ9vpLv,10cc,On air 70's Hits,The Things We Do For Love,0,213066,False,0.437,0.557,1,-8.487,1,0.102,0.33,0.0,0.248,0.683,161.412,3.0,blues
23515,4YYODVaWvNDvqsYiQtJJrM,Chris Malinchak,So Good To Me (Remixes),So Good to Me - Radio Edit,56,158677,False,0.716,0.465,11,-12.776,1,0.0377,0.166,0.0171,0.147,0.416,120.988,4.0,deep-house
40092,1uoA57FMhP9QjZxIJZVEWo,Aline Barros,Minha Oração,Jeová Jireh,48,389820,False,0.398,0.754,7,-7.67,1,0.0541,0.00439,0.0,0.237,0.111,133.991,4.0,gospel
6115,2HAtML31VFvKnfcw0VoBRI,End It,End It,Wishlist,23,105400,False,0.251,0.925,2,-4.404,1,0.0911,7.13e-06,0.577,0.299,0.589,95.929,3.0,black-metal
17359,6VYUpXZesAGIKO4IPDnF21,Catnapp,No Cover,No Cover,42,125855,False,0.71,0.708,5,-10.197,1,0.114,0.00522,0.429,0.115,0.518,147.957,4.0,club
28911,2o5GJ6ODpzswofGKNI2ZYv,QUIX;Amba Shepherd,Heads or Tails,Heads Or Tails,46,227586,False,0.72,0.681,3,-3.19,0,0.0491,0.0289,0.000147,0.216,0.558,145.046,4.0,dub
15318,6sWkR0Y0NsJN4Ov3vKAPIa,dhruv,rapunzel,what's wrong with me?,46,185375,False,0.504,0.405,6,-11.312,0,0.0515,0.786,0.00143,0.102,0.176,93.469,4.0,chill
37109,5Tx1d8pU6gw3TpswVgl8xk,Stevie Wonder,Christmas Classics,Silver Bells,0,142560,False,0.409,0.336,2,-10.479,1,0.0301,0.383,0.0,0.15,0.549,114.59,3.0,funk
19142,3SCYKwSFwlSe5xEvVlcP1W,George Strait,Country Christmas Greatest Hits,Jingle Bell Rock,1,132493,False,0.775,0.562,4,-6.041,0,0.0299,0.468,0.0,0.174,0.77,121.034,4.0,country
11326,7GtzkR8wcfp0hTGAitVTSF,Lorne Balfe,Black Adam (Original Motion Picture Soundtrack),What Kind of Magic?,22,130410,False,0.383,0.441,8,-18.81,1,0.0356,0.218,0.621,0.0951,0.0822,90.793,1.0,british
3173,2bkJyEAy4nmVybyBsQ9kX9,GAYLE,New Pop Classics,indieedgycool,2,146769,True,0.728,0.773,11,-6.253,0,0.0764,0.0364,0.0,0.235,0.547,98.011,4.0,alternative
